symbol,rel_spread
ACHC,0.012322274875676551
ADBE,0.0010462127099584615
ADI,0.009133013028215621
ADP,0.0014682018390592437
ADSK,0.0012953367875218873
AKAM,0.008163265305011724
ALGN,0.01265822784717521
ALNY,0.004859813083998565
AMAT,0.0024860694383845834
AMD,0.0007536691788673583
AMGN,0.005597706963223709
AMKR,0.001115760111264757
AMZN,0.0005163237747034404
APA,0.001366742596188324
APLS,0.012896825390428239
ARCC,0.0014756517454621062
ARWR,0.00946372239498849
AVGO,0.0013869625519726224
AXON,0.004784551913752109
AZTA,0.018290655131928638
BIIB,0.015891032916078553
BKNG,0.004154986978381759
BL,0.0032022771743102107
BLDR,0.0036347114944448758
BLK,0.0011309232103034045
BMRN,0.0036377560781854735
BRKR,0.01617110067392505
CACC,0.025709384272400965
CAR,0.0233940409949408
CASY,0.010439066348468515
CDNS,0.005363984674165089
CDW,0.008973343889616335
CG,0.002888503754498624
CGNX,0.003926380367134547
CHDN,0.0048175481749879396
CHRW,0.005900865459880465
CHTR,0.006438356164089557
CINF,0.004356023665278117
CMCSA,0.0011066027292119184
CME,0.0018885741264631321
COLM,0.03300931550566833
COST,0.001051502145911484
CPRT,0.0016366612107466371
CROX,0.005569620252459513
CRWD,0.0031885733464508954
CSGP,0.012063953486618588
CSX,0.0002825656964445423
CTAS,0.00561921551313238
CTSH,0.0013689253933787718
DBX,0.00409416581231864
DDOG,0.005611247714166028
DLTR,0.004285429539138313
DNLI,0.01138647018661321
DOCU,0.011421319795343896
DOX,0.008872901677593116
DXCM,0.0018095081424889677
EA,0.0004501125281095388
EBAY,0.001229256299787535
EEFT,0.013877551018520009
ENPH,0.003727549981793423
ENTG,0.005042402016382922
ETSY,0.0047409414147069374
EWBC,0.013327907211992156
EXEL,0.0029054410980175653
A,0.009504507651862046
AA,0.001665278933759353
AAP,0.00959488272716533
ABBV,0.0026388888887666864
ABT,0.004591960041521694
ACM,0.009609374999249187
ACN,0.002028397565840633
ADM,0.003951890033685188
AEP,0.0065108514184882525
AES,0.002222222220576084
AFG,0.010783332048772578
AFL,0.00858369098632348
AGCO,0.011496473769539493
AIG,0.004298899986812674
AIZ,0.010743527852205854
AJG,0.011547154304025193
AL,0.00015681354866598518
ALB,0.005474860334583758
ALK,0.003713790541293901
ALL,0.0011962966815149028
ALLY,0.0035906642719695796
AME,0.004209565349484795
AMG,0.01918570009854271
