symbol,rel_spread
ADBE,0.0010462127099584615
ADP,0.0014682018390592437
ADSK,0.0012953367875218873
AMD,0.0007536691788673583
AMKR,0.001115760111264757
AMZN,0.0005163237747034404
APA,0.001366742596188324
ARCC,0.0014756517454621062
AVGO,0.0013869625519726224
BLK,0.0011309232103034045
CMCSA,0.0011066027292119184
COST,0.001051502145911484
CSX,0.0002825656964445423
CTSH,0.0013689253933787718
EA,0.0004501125281095388
EBAY,0.001229256299787535
AL,0.00015681354866598518
ALL,0.0011962966815149028
BAC,0.0005658242171696678
BEN,0.0013262599463631734
BWA,0.0009149130830478046
C,0.0004044080476793264
CAH,0.00130039011696747
CARR,0.0010493179431533594
CB,0.0014942365162411895
CCL,0.001114413075366027
CMS,0.0011083402603063854
CNC,0.0008426966289768025
CRM,0.0009318578916353737
CTLT,0.0001575051188915256
DAL,0.0008807468731934064
DAY,0.00029078220408677234
DD,0.0005800464035441607
DELL,0.0013547513062799848
DVN,0.0012461059186148935
F,0.0007794232262046417
FCX,0.0010134279196824137
FE,0.00043374539136121603
FITB,0.0007278020376691683
FOXA,0.0011137629274282045
GEN,0.0007680491548509632
GIS,0.0010787486513313845
GM,0.0008875739643657772
GOOG,0.00017877574370074231
GOOGL,0.0004656827625567367
HBAN,0.0006587615278927649
HAL,0.001111522785805332
HOLX,0.0005398839248831583
HPQ,0.0007550018872198228
HUN,0.0012706480288809793
ICE,0.0012328767122443702
IP,0.0010964912277697737
IPG,0.0011999999995200455
KHC,0.0008254230289618383
LKQ,0.001325820350902915
LRCX,0.001014842065139212
K,0.0002407897904838445
KDP,0.0011269722009289204
KEY,0.0011560693634935768
KMB,0.0006860727236414041
LLY,0.0014637661577099005
LUV,0.0010010010006670379
MA,0.0012626262626030497
MDLZ,0.0007095973034043493
MDT,0.0009991119004219837
MGM,0.0012779552711571754
META,0.0007733585858463944
MO,0.0005235602093327319
MRNA,0.0012126111555325395
MS,0.0011082379016680486
MSTR,0.001299980303277576
MU,0.0008438818565025933
NCLH,0.0009779951095461917
NDAQ,0.001276250144880345
NEE,0.0014718508522664792
NI,0.0009476427384629879
NFLX,0.0008058239091543895
NVDA,0.00009870693909285727
NWSA,0.0011538461534024106
ORCL,0.0007235890014181176
OXY,0.0007518796990597078
PGR,0.0012726382769812261
PINS,0.0012135922326414813
PPL,0.0008246289167605206
PYPL,0.0006040471155838989
QCOM,0.0013507429085236
RF,0.00041649312768984084
REGN,0.0010105092966697844
RTX,0.0007366691221886369
SBUX,0.0001270809505494257
SLM,0.0014641288428022643
SLB,0.0011013215855998329
SYF,0.0008164376104481957
T,0.0008203445443722776
TFC,0.00045882083036035353
TSCO,0.0013386880854200306
TSLA,0.0003757819580367782
TTD,0.0014553014549989036
TXN,0.0007485029939653164
AAPL,0.0004461464103635581
BA,0.0007015785517061917
CSCO,0.0005479452054044767
CVX,0.0005896612723193789
DIS,0.001082055906124164
DOW,0.0013152126254646652
GS,0.000963700610331337
INTC,0.00026357406424273524
JNJ,0.0005880151814515074
KO,0.0002926115581138862
MCD,0.0004712535343857906
MRK,0.0007167602436128859
MSFT,0.0011946963316713346
NKE,0.0009677419353278202
PFE,0.0007993605112712218
UNH,0.0007784198077668534
V,0.0006512922229594052
VZ,0.0007618080241842546
WMT,0.0008817478200370916
XOM,0.0002654397451543686
TSN,0.0013586956519101964
UNP,0.0013734377145366871
UPS,0.0012771392080378158
USB,0.0004316857326934226
WEC,0.0009905447995505988
WFC,0.00034574161572598506
WHR,0.0014423770371496433
WM,0.001361916771684192
WTRG,0.0007767995855057779
XEL,0.0013540128014089036
COIN,0.0012197028928468783
